Workout Start,Workout End,Exercise,Weight,Reps,Notes,Kcal,Distance,Duration,Category,Name,Bodyweight
2026-06-08 14:11,2026-06-08 15:08,"Lat Pull-down ",85,8,"",,,,Back,"Pull ",
2026-06-08 14:11,2026-06-08 15:08,"Lat Pull-down ",90,8,"",,,,Back,"Pull ",
2026-06-08 14:11,2026-06-08 15:08,"Lat Pull-down ",100,8,"",,,,Back,"Pull ",
2026-06-08 14:11,2026-06-08 15:08,"Lat Pull-down ",105,8,"",,,,Back,"Pull ",
2026-06-08 14:11,2026-06-08 15:08,"Single Arm Dumbbell Row",40,8,"",,,,Back,"Pull ",
2026-06-08 14:11,2026-06-08 15:08,"Single Arm Dumbbell Row",40,8,"",,,,Back,"Pull ",
2026-06-08 14:11,2026-06-08 15:08,"Single Arm Dumbbell Row",40,8,"",,,,Back,"Pull ",
2026-06-08 14:11,2026-06-08 15:08,"Single Arm Dumbbell Row",40,8,"",,,,Back,"Pull ",
2026-06-08 14:11,2026-06-08 15:08,"Cable Face Pulls",50,15,"",,,,Shoulders,"Pull ",
2026-06-08 14:11,2026-06-08 15:08,"Cable Face Pulls",60,15,"",,,,Shoulders,"Pull ",
2026-06-08 14:11,2026-06-08 15:08,"Cable Face Pulls",70,15,"",,,,Shoulders,"Pull ",
2026-06-08 14:11,2026-06-08 15:08,"Chest Supported Rows",30,10,"",,,,Back,"Pull ",
2026-06-08 14:11,2026-06-08 15:08,"Chest Supported Rows",30,10,"",,,,Back,"Pull ",
2026-06-08 14:11,2026-06-08 15:08,"Chest Supported Rows",30,10,"",,,,Back,"Pull ",
2026-06-08 14:11,2026-06-08 15:08,"Hammer Curl",20,10,"",,,,Biceps,"Pull ",
2026-06-08 14:11,2026-06-08 15:08,"Hammer Curl",20,10,"",,,,Biceps,"Pull ",
2026-06-08 14:11,2026-06-08 15:08,"Hammer Curl",20,10,"",,,,Biceps,"Pull ",
2026-06-04 14:33,2026-06-04 15:01,"Barbell Squats",55,5,"",,,,Legs,"Legs",
2026-06-04 14:33,2026-06-04 15:01,"Barbell Squats",55,5,"",,,,Legs,"Legs",
2026-06-04 14:33,2026-06-04 15:01,"Barbell Squats",55,5,"",,,,Legs,"Legs",
2026-06-04 14:33,2026-06-04 15:01,"Barbell Squats",55,5,"",,,,Legs,"Legs",
2026-06-04 14:33,2026-06-04 15:01,"Bulgarian Split Squats",0,8,"",,,,Legs,"Legs",
2026-06-04 14:33,2026-06-04 15:01,"Bulgarian Split Squats",0,8,"",,,,Legs,"Legs",
2026-06-04 14:33,2026-06-04 15:01,"Bulgarian Split Squats",0,8,"",,,,Legs,"Legs",
2026-06-03 14:46,2026-06-03 15:39,"Bench Press",40,6,"",,,,Chest,"Push",
2026-06-03 14:46,2026-06-03 15:39,"Bench Press",40,6,"",,,,Chest,"Push",
2026-06-03 14:46,2026-06-03 15:39,"Bench Press",40,6,"",,,,Chest,"Push",
2026-06-03 14:46,2026-06-03 15:39,"Bench Press",40,6,"",,,,Chest,"Push",
2026-06-03 14:46,2026-06-03 15:39,"Sitting OHP",45,8,"",,,,Shoulders,"Push",
2026-06-03 14:46,2026-06-03 15:39,"Sitting OHP",45,7,"Half rep",,,,Shoulders,"Push",
2026-06-03 14:46,2026-06-03 15:39,"Sitting OHP",45,7,"",,,,Shoulders,"Push",
